year,latitude,longitude,aerosol
1850,-87.5,35.6,0.0231
1850,-87.5,36.9,0.0231
1850,-87.5,38.1,0.0232
1850,-87.5,39.4,0.0232
1850,-87.5,40.6,0.0232
1850,-87.5,41.9,0.0233
1850,-87.5,43.1,0.0233
1850,-87.5,44.4,0.0233
1850,-87.5,45.6,0.0234
1850,-87.5,46.9,0.0234
1850,-87.5,48.1,0.0234
1850,-87.5,49.4,0.0235
1850,-87.5,50.6,0.0235
1850,-87.5,51.9,0.0235
1850,-87.5,53.1,0.0235
1850,-87.5,54.4,0.0236
1850,-87.5,55.6,0.0236
1850,-87.5,56.9,0.0237
1850,-87.5,58.1,0.0237
1850,-87.5,59.4,0.0238
1850,-87.5,60.6,0.0238
1850,-87.5,61.9,0.0238
1850,-87.5,63.1,0.0238
1850,-87.5,64.4,0.0238
1850,-87.5,65.6,0.0238
1850,-87.5,66.9,0.0239
1850,-87.5,68.1,0.0239
1850,-87.5,69.4,0.0239
1850,-87.5,70.6,0.0239
1850,-87.5,71.9,0.0239
1850,-87.5,73.1,0.0239
1850,-87.5,74.4,0.0239
1850,-87.5,75.6,0.024
1850,-87.5,76.9,0.024
1850,-87.5,78.1,0.024
1850,-87.5,79.4,0.024
1850,-87.5,80.6,0.023
1850,-87.5,81.9,0.023
1850,-87.5,83.1,0.023
1850,-87.5,84.4,0.023
1850,-87.5,85.6,0.023
1850,-87.5,86.9,0.023
1850,-87.5,88.1,0.023
1850,-87.5,89.4,0.023
1850,-87.5,90.6,0.023
1850,-87.5,91.9,0.0229
1850,-87.5,93.1,0.0229
1850,-87.5,94.4,0.0229
1850,-87.5,95.6,0.0229
1850,-87.5,96.9,0.0229
1850,-87.5,98.1,0.0229
1850,-87.5,99.4,0.0229
1850,-87.5,100.6,0.0228
1850,-87.5,101.9,0.0225
1850,-87.5,103.1,0.0221
1850,-87.5,104.4,0.0218
1850,-87.5,105.6,0.0214
1850,-87.5,106.9,0.0212
1850,-87.5,108.1,0.0212
1850,-87.5,109.4,0.0213
1850,-87.5,110.6,0.0213
1850,-87.5,111.9,0.0214
1850,-87.5,113.1,0.0214
1850,-87.5,114.4,0.0215
1850,-87.5,115.6,0.0215
1850,-87.5,116.9,0.0216
1850,-87.5,118.1,0.0217
1850,-87.5,119.4,0.0217
1850,-87.5,120.6,0.0218
1850,-87.5,121.9,0.0218
1850,-87.5,123.1,0.0219
1850,-87.5,124.4,0.0219
1850,-87.5,125.6,0.0218
1850,-87.5,126.9,0.0219
1850,-87.5,128.1,0.0218
1850,-87.5,129.4,0.0217
1850,-87.5,130.6,0.0217
1850,-87.5,131.9,0.0216
1850,-87.5,133.1,0.0215
1850,-87.5,134.4,0.0215
1850,-87.5,135.6,0.0214
1850,-87.5,136.9,0.0214
1850,-87.5,138.1,0.0214
1850,-87.5,139.4,0.0215
1850,-87.5,140.6,0.0215
1850,-87.5,141.9,0.0216
1850,-87.5,143.1,0.0217
1850,-87.5,144.4,0.0222
1850,-87.5,145.6,0.0229
1850,-87.5,146.9,0.0236
1850,-87.5,148.1,0.0244
1850,-87.5,149.4,0.0251
1850,-87.5,150.6,0.0252
1850,-87.5,151.9,0.0252
1850,-87.5,153.1,0.0252
1850,-87.5,154.4,0.0252
1850,-87.5,155.6,0.0252
1850,-87.5,156.9,0.0252
1850,-87.5,158.1,0.0252
1850,-87.5,159.4,0.0252
1850,-87.5,160.6,0.0253
1850,-87.5,161.9,0.0253
1850,-87.5,163.1,0.0253
1850,-87.5,164.4,0.0253
1850,-87.5,165.6,0.0253
1850,-87.5,166.9,0.0253
1850,-87.5,168.1,0.0253
1850,-87.5,169.4,0.0253
1850,-87.5,170.6,0.0257
1850,-87.5,171.9,0.0257
1850,-87.5,173.1,0.0258
1850,-87.5,174.4,0.0258
1850,-87.5,175.6,0.0258
1850,-87.5,176.9,0.0258
1850,-87.5,178.1,0.0258
1850,-87.5,179.4,0.0259
1850,-87.5,180.6,0.0259
1850,-87.5,181.9,0.0259
1850,-87.5,183.1,0.0259
1850,-87.5,184.4,0.026
1850,-87.5,185.6,0.026
1850,-87.5,186.9,0.026
1850,-87.5,188.1,0.026
1850,-87.5,189.4,0.026
1850,-87.5,190.6,0.0262
1850,-87.5,191.9,0.0279
1850,-87.5,193.1,0.03
1850,-87.5,194.4,0.0319
1850,-87.5,195.6,0.0338
1850,-87.5,196.9,0.035
1850,-87.5,198.1,0.0347
1850,-87.5,199.4,0.0343
1850,-87.5,200.6,0.034
1850,-87.5,201.9,0.0336
1850,-87.5,203.1,0.0333
1850,-87.5,204.4,0.0329
1850,-87.5,205.6,0.0325
1850,-87.5,206.9,0.0321
1850,-87.5,208.1,0.0317
1850,-87.5,209.4,0.0312
1850,-87.5,210.6,0.0308
1850,-87.5,211.9,0.0304
1850,-87.5,213.1,0.0299
1850,-87.5,214.4,0.0295
1850,-87.5,215.6,0.0295
1850,-87.5,216.9,0.0299
1850,-87.5,218.1,0.0304
